"projectFileName","moduleName","dependentProjectFileName","dependentModulePathName","forwardToBackwardBalance","numberForward","numberBackward","forwardDependencyExamples","backwardDependencyExamples","Source Cypher File: domains/cyclic-dependencies/queries/Cyclic_Dependencies_for_Typescript.cypher"
"react-router","./lib/router/router.ts","react-router","./lib/router/instrumentation.ts",0.75,7,1,"createRouter->instrumentClientSideRouter,createStaticHandler->getRouteInstrumentationUpdates,createRouter->getRouteInstrumentationUpdates,createRouter->unstable_InstrumentRouteFunction,createStaticHandler->unstable_InstrumentRouteFunction,RouterInit->unstable_ClientInstrumentation,createRouter->unstable_InstrumentRouterFunction","Router<-instrumentClientSideRouter",""
"react-router","./lib/server-runtime/routes.ts","react-router","./index.ts",0.75,7,1,"createStaticHandlerDataRoutes->replace,createStaticHandlerDataRoutes->redirectDocument,createStaticHandlerDataRoutes->MiddlewareFunction,createStaticHandlerDataRoutes->DataRouteObject,createStaticHandlerDataRoutes->redirect,createStaticHandlerDataRoutes->decodeViaTurboStream,createStaticHandlerDataRoutes->SingleFetchRedirectSymbol","ServerRouteManifest<-ServerBuild",""
"react-router","./index-react-server.ts","react-router","./lib/router/utils.ts",0.7073170731707317,35,6,"createStaticHandler->DataStrategyMatch,data->DataWithResponseInit,createStaticHandler->ErrorResult,matchRoutes->matchRoutesImpl,replace->replace,matchRSCServerRequest->RouterContextProvider,createStaticHandler->RouterContextProvider,matchRoutes->RouteObject,createStaticHandler->RouteObject","RouterContext<-RouterContextProvider,MiddlewareFunction<-RouteObject,RouterContext<-createContext,data<-convertRouteMatchToUiMatch,MiddlewareNextFunction<-MiddlewareFunction,MiddlewareFunction<-BaseRouteObject",""
"react-router","./lib/server-runtime/data.ts","react-router","./index.ts",0.6666666666666666,5,1,"callRouteHandler->ActionFunction,callRouteHandler->DataWithResponseInit,callRouteHandler->LoaderFunctionArgs,callRouteHandler->LoaderFunction,callRouteHandler->ActionFunctionArgs","AppLoadContext<-RequestHandler",""
"react-router","./lib/dom/ssr/fog-of-war.ts","react-router","./index.ts",0.6363636363636364,18,4,"fetchAndApplyManifestPatches->createClientRoutes,useFogOFWarDiscovery->RouteModules,getPatchRoutesOnNavigationFunction->RouteModules,fetchAndApplyManifestPatches->RouteModules,getPartialManifest->RouterState,getPatchRoutesOnNavigationFunction->RouterState,getPartialManifest->matchRoutes,getPatchRoutesOnNavigationFunction->PatchRoutesOnNavigationFunction,useFogOFWarDiscovery->AssetsManifest","isFogOfWarEnabled<-getPatchRoutesOnNavigationFunction,fetchAndApplyManifestPatches<-getPatchRoutesOnNavigationFunction,isFogOfWarEnabled<-useFogOFWarDiscovery,fetchAndApplyManifestPatches<-useFogOFWarDiscovery",""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index-react-server.ts",0.6,12,3,"createSessionStorage->SessionStorage,SessionStorage->Session,CreateSessionFunction->Session,createSession->Session,createSessionStorage->SessionIdStorageStrategy,createSessionStorage->createCookie,createSessionStorage->isCookie,isSession->IsSessionFunction,SessionIdStorageStrategy->Cookie","createSession<-createCookieSessionStorage,warnOnceAboutSigningSessionCookie<-createCookieSessionStorage,createSessionStorage<-createMemorySessionStorage",""
"react-router","./lib/server-runtime/sessions.ts","react-router","./index.ts",0.6,12,3,"createSessionStorage->SessionIdStorageStrategy,SessionIdStorageStrategy->CookieSignatureOptions,SessionStorage->Session,CreateSessionFunction->Session,createSession->Session,isSession->IsSessionFunction,createSessionStorage->isCookie,SessionIdStorageStrategy->Cookie,warnOnceAboutSigningSessionCookie->Cookie","createSessionStorage<-createMemorySessionStorage,createSession<-createCookieSessionStorage,warnOnceAboutSigningSessionCookie<-createCookieSessionStorage",""
"react-router-dev","./vite/plugin.ts","react-router-dev","./vite/styles.ts",0.5,3,1,"reactRouterVitePlugin->getCssStringFromViteDevModuleCode,reactRouterVitePlugin->getStylesForPathname,reactRouterVitePlugin->isCssModulesFile","LoadCssContents<-getStylesForPathname",""
"react-router","./lib/router/router.ts","react-router","./index.ts",0.4563106796116505,75,28,"Router->BlockerFunction,createRouter->BlockerFunction,Router->GetScrollRestorationKeyFunction,Router->RouterSubscriber,createRouter->RouterSubscriber,createRouter->RouterContextProvider,createStaticHandler->RouterContextProvider,createRouter->parsePath,createRouter->RouteObject","RouterState<-createRouter,IDLE_BLOCKER<-createRouter,isMutationMethod<-createRouter,IDLE_NAVIGATION<-createRouter,IDLE_FETCHER<-createRouter,BlockerFunction<-createRouter,RouterInit<-createRouter,RouterSubscriber<-createRouter,Router<-createRouter",""
"react-router","./lib/rsc/server.rsc.ts","react-router","./index.ts",0.45454545454545453,32,12,"RSCRouteManifest->ShouldRevalidateFunction,RSCRouteManifest->LinksFunction,matchRSCServerRequest->RouterContextProvider,RSCRouteMatch->Params,RSCRouteManifest->ClientLoaderFunction,replace->replace,matchRSCServerRequest->DecodeFormStateFunction,RSCRenderPayload->Location,redirectDocument->redirectDocument","RSCRouteManifest<-RSCRenderPayload,RSCRouteMatch<-RSCRenderPayload,RSCRouteManifest<-RSCManifestPayload,getRequest<-unstable_getRequest,matchRSCServerRequest<-unstable_matchRSCServerRequest,RSCManifestPayload<-RSCPayload,RSCActionPayload<-RSCPayload,RSCRedirectPayload<-RSCPayload,RSCRenderPayload<-RSCPayload",""
